pair_id,source_x_m,source_z_m,receiver_x_m,receiver_z_m,offset_m,linear_travel_time_s,linear_travel_time_ms,noise_ms,observed_travel_time_ms,observed_travel_time_s,predicted_travel_time_ms,travel_time_residual_ms
78,45.0,0.0,94.0,0.0,49.0,0.0920186500263002,92.0186500263002,-0.535046775174568,91.48360325112564,0.0914836032511256,91.50344549205207,-0.019842240926422505
79,45.0,0.0,98.0,0.0,53.0,0.0995303765590594,99.5303765590594,-0.3060552034913938,99.224321355568,0.099224321355568,98.81740865863476,0.40691269693323306
80,45.0,0.0,102.0,0.0,57.0,0.1070421030918186,107.04210309181862,-0.6947523171181414,106.34735077470047,0.1063473507747004,105.92148346900791,0.42586730569256304
81,45.0,0.0,106.0,0.0,61.0,0.1145538296245778,114.55382962457782,0.5482822819863481,115.10211190656416,0.1151021119065641,113.52046681665956,1.5816450899045975
82,45.0,0.0,110.0,0.0,65.0,0.1220655561573369,122.06555615733696,-0.2587436261813422,121.8068125311556,0.1218068125311556,119.62535331857299,2.1814592125826096
83,45.0,0.0,114.0,0.0,69.0,0.1295772826900962,129.57728269009618,1.8958840159411408,131.47316670603732,0.1314731667060373,128.27621680702157,3.196949899015749
84,45.0,0.0,118.0,0.0,73.0,0.1361255946352224,136.12559463522246,0.2516724453817677,136.3772670806042,0.1363772670806042,134.8476729578958,1.529594122708403
85,65.0,0.0,2.0,0.0,63.0,0.0991325764438074,99.1325764438074,1.3142525982735795,100.44682904208098,0.1004468290420809,101.10927017582989,-0.6624411337489136
86,65.0,0.0,6.0,0.0,59.0,0.0958128866559898,95.81288665598989,0.8865119682126646,96.69939862420254,0.0966993986242025,96.94440853831016,-0.2450099141076123
87,65.0,0.0,10.0,0.0,55.0,0.0917123383109632,91.71233831096328,0.1111085710171124,91.8234468819804,0.0918234468819804,91.95245507032907,-0.12900818834866357
88,65.0,0.0,14.0,0.0,51.0,0.0884533031941841,88.45330319418417,-0.078840445412747,88.37446274877142,0.0883744627487714,87.37340144378854,1.0010613049828834
89,65.0,0.0,18.0,0.0,47.0,0.0838270810334912,83.82708103349124,0.0635920963969322,83.89067312988817,0.0838906731298881,82.5789700807744,1.311703049113774
90,65.0,0.0,22.0,0.0,43.0,0.0782671070322543,78.26710703225433,0.9693314095292918,79.23643844178362,0.0792364384417836,77.40916157595909,1.8272768658245298
91,65.0,0.0,26.0,0.0,39.0,0.0732393336944022,73.23933369440222,0.7407755358769529,73.98010923027917,0.0739801092302791,71.30338399473084,2.676725235548332
92,65.0,0.0,30.0,0.0,35.0,0.065727607161643,65.72760716164304,0.1713641735076695,65.8989713351507,0.0658989713351507,64.56360148061293,1.335369854537774
93,65.0,0.0,34.0,0.0,31.0,0.0582158806288838,58.21588062888383,0.8935158254542188,59.10939645433805,0.059109396454338,58.77460256374989,0.3347938905881591
94,65.0,0.0,38.0,0.0,27.0,0.0507041540961246,50.70415409612461,-0.6660859670819749,50.03806812904264,0.0500380681290426,52.701391855747815,-2.6633237267051726
95,65.0,0.0,42.0,0.0,23.0,0.0431924275633654,43.192427563365406,0.687880336341279,43.880307899706686,0.0438803078997066,45.88111630544723,-2.0008084057405426
96,65.0,0.0,46.0,0.0,19.0,0.0356807010306062,35.68070103060622,0.7109647842069461,36.391665814813166,0.0363916658148131,37.388285152732784,-0.9966193379196184
97,65.0,0.0,50.0,0.0,15.0,0.028168974497847,28.168974497847007,-0.1481465784756425,28.020827919371364,0.0280208279193713,29.46843301423798,-1.447605094866617
98,65.0,0.0,54.0,0.0,11.0,0.0206572479650878,20.657247965087805,0.08485607944068,20.742104044528485,0.0207421040445284,21.54789543442375,-0.8057913898952656
99,65.0,0.0,58.0,0.0,7.0,0.0131455214323286,13.145521432328604,0.994549210908164,14.140070643236768,0.0141400706432367,13.613358243311442,0.5267123999253265
100,65.0,0.0,70.0,0.0,5.0,0.0093896581659489,9.389658165948996,-0.0388993308501562,9.35075883509884,0.0093507588350988,9.2814734905002,0.06928534459864011
101,65.0,0.0,74.0,0.0,9.0,0.0169013846987082,16.901384698708203,0.6814288167594305,17.582813515467635,0.0175828135154676,16.566203509467634,1.0166100060000005
102,65.0,0.0,78.0,0.0,13.0,0.0244131112314674,24.413111231467408,-0.1999076590805366,24.21320357238687,0.0242132035723868,23.782737477703286,0.43046609468358454
103,65.0,0.0,82.0,0.0,17.0,0.0319248377642266,31.9248377642266,-1.106373949743889,30.81846381448271,0.0308184638144827,31.224939100381786,-0.4064752858990772
104,65.0,0.0,86.0,0.0,21.0,0.0394365642969858,39.43656429698581,-0.1863452393170248,39.25021905766878,0.0392502190576687,38.876878969472514,0.3733400881962652
105,65.0,0.0,90.0,0.0,25.0,0.046948290829745,46.94829082974501,0.9312333160772904,47.8795241458223,0.0478795241458223,46.411788147059575,1.467735998762727
106,65.0,0.0,94.0,0.0,29.0,0.0544600173625042,54.46001736250422,0.8087579855276955,55.26877534803192,0.0552687753480319,53.67956850203739,1.589206845994532
107,65.0,0.0,98.0,0.0,33.0,0.0619717438952634,61.971743895263415,-0.2792492161240534,61.692494679139365,0.0616924946791393,61.33038180548667,0.3621128736526984
108,65.0,0.0,102.0,0.0,37.0,0.0694834704280226,69.48347042802263,-0.6721888984317546,68.81128152959087,0.0688112815295908,69.16618914520907,-0.3549076156182025
109,65.0,0.0,106.0,0.0,41.0,0.0769951969607818,76.9951969607818,-0.3273953242523225,76.66780163652948,0.0766678016365294,77.23468787384444,-0.5668862373149608
110,65.0,0.0,110.0,0.0,45.0,0.0845069234935409,84.50692349354097,-0.3277478235858567,84.17917566995511,0.0841791756699551,84.13685424441823,0.04232142553688334
111,65.0,0.0,114.0,0.0,49.0,0.0920186500263001,92.0186500263002,0.8759637755820868,92.89461380188229,0.0928946138018822,92.05605627000763,0.8385575318746561
112,65.0,0.0,118.0,0.0,53.0,0.0995303765590594,99.53037655905942,-0.9220316912783733,98.60834486778104,0.098608344867781,99.45355953655486,-0.8452146687738207
113,85.0,0.0,2.0,0.0,83.0,0.1123698101781167,112.36981017811677,-0.8816165488818132,111.48819362923496,0.1114881936292349,112.28649058432424,-0.7982969550892847
114,85.0,0.0,6.0,0.0,79.0,0.1085003518922265,108.50035189222658,0.0956862750299436,108.59603816725652,0.1085960381672565,107.61756340743116,0.9784747598253603
115,85.0,0.0,10.0,0.0,75.0,0.1031032813193885,103.10328131938856,-1.3263060230370542,101.77697529635152,0.1017769752963515,102.51607157367475,-0.7390962773232275
116,85.0,0.0,14.0,0.0,71.0,0.0994086170895537,99.40861708955376,-1.5699302564079414,97.8386868331458,0.0978386868331458,98.75994667354018,-0.9212598403943844
